image,text
"TED_TD33_F1_88342294-5_c20_s4.png,""<TED version=""""1.0""""><DD><RE>88342294-5</RE><TD>33</TD><F>1</F><FE>2025-04-06</FE><RR>59005674-K</RR><RSR>Solucion Sensor Soporte Árriendo Eirl</RSR><GIR>insumos clinícos</GIR><DIRR>Pásaje Libertad 926</DIRR><CMNA>valparaiso</CMNA><REG>cóquimbo</REG><MNT>8180600</MNT><NETO>7770430</NETO><IVA>410170</IVA><IT1>calibracion jerínga valvula equipo comun</IT1><OBS>SOLUCION MANTENCION EQUIPÓ COMUNICACION ACTUALÍZACION SÓFTWARE SERVICIO KIT SOLUCION HÁRDWARE</OBS><REF><TPO>801</TPO><FOL>524480</FOL><FE>2025-10-06</FE></REF><CAF version=""""1.0""""><DA><RE>53246926-0</RE><TD>39</TD><RNG><D>3943</D><H>3282229</H></RNG><FA>2026-01-17</FA><RSAPK><M>A3SNPCX3YGTFQXSR5GVYBOEQDF5LS702KMIAWEUCH4GM7FQAF9D22V9X10ZUOEKFO4FFNYV2ZJJNZ6RQO2AALUO9PGB2KVS9FHT5V7D50A9DUBH438I0WL62JSJY5QOKOEVXDFF8</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-04-08T09:58:35</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">cS/nJ5hL3s75FW+jsq/vr2HYX42wAXbC5+wbrvDV2HaG1NnLGGIM0BBWVxtScoymJqqBdQ==</FRMT></TED>"""
"TED_TD33_F2_86207843-8_c20_s4.png,""<TED version=""""1.0""""><DD><RE>86207843-8</RE><TD>33</TD><F>2</F><FE>2025-05-24</FE><RR>24304578-9</RR><RSR>INSTALACION MÓNITOREO CALIBRACION INSUMO</RSR><GIR>SERVICIOS TI</GIR><DIRR>pasaje norte 5709 of 269</DIRR><CMNA>vAlPARaisO</CMNA><REG>BIOBIO</REG><MNT>47840000</MNT><NETO>37979330</NETO><IVA>9860670</IVA><IT1>CATETER BÁTERIA EQUIPO MANTENCION ARRIEN</IT1><OBS>bateria clinico solúcion bolsa solúcion repuestó monitoreo bateria comunicacion kit licencia</OBS><REF><TPO>801</TPO><FOL>589853</FOL><FE>2025-03-21</FE></REF><CAF version=""""1.0""""><DA><RE>44182150-6</RE><TD>56</TD><RNG><D>2300</D><H>801777</H></RNG><FA>2026-01-17</FA><RSAPK><M>F9SNHW14P55WVPO8GK85TN09A4YWADFA3ZTL803STEJJ44XVI7PE90D61KUURWZ9BZJQDTJ64B61BUD7922ZP2S48HXXA4V7WPVZ4EQ2QKOVJM0NA806I1VM99AB2CMNMI0W0QVDOWMCGHGTU5K2PY7LG019UM6RNTBD1OE2LA4NAPK02Y6PGXXDZRD26GJSDI4QX25KB709W3EIR774LJSP</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-12-13T01:13:12</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">LA/RhC9T/fbp3u8MoiQ70CNl1LsmAJfnYwpbSn8D7Ugmjq5TdCPT3KXgh1rW19xHAW7kvA==</FRMT></TED>"""
"TED_TD39_F3_77802584-1_c20_s4.png,""<TED version=""""1.0""""><DD><RE>77802584-1</RE><TD>39</TD><F>3</F><FE>2025-06-28</FE><RR>31325693-6</RR><RSR>BÓLSA REPÁRACION SERVICIO EQÚIPO LTDA 32</RSR><GIR>Insumos Clinicós</GIR><DIRR>Calle Colon 1613</DIRR><CMNA>La Calera</CMNA><REG>Biobio</REG><MNT>5621000</MNT><NETO>4258310</NETO><IVA>1362690</IVA><IT1>CLINICO MONITOREO MODULÓ SKU-2208083 16H</IT1><OBS>MONITOREO SERVICIO PRUEBA SERVICIO MASCARILLA PRÓCEDIMIENTO MONÍTOREÓ ÉQUIPO DIAGNOSTICO ARRIENDO COMUNICACION MONITOREO PACK GUANTE EQUIPO</OBS><REF><TPO>801</TPO><FOL>516521</FOL><FE>2025-11-20</FE></REF><CAF version=""""1.0""""><DA><RE>68861867-3</RE><TD>33</TD><RNG><D>2183</D><H>8757519</H></RNG><FA>2026-01-17</FA><RSAPK><M>S8XKPLWJBC4LZLVM7LUS7VGA5R2DJYYYZ8JSG9S3H86CFJLMID6BD143JJV3OPUJ9NIWFO89N0K58I58E3B3PD3W1OQFBAOAS06DSTVHPQHS1D4TXIOD5GG5WD2LQEA6VZ7IAXJW55EV07S5LW4IGKDE5T5L2RK4PGY0HUGFX4RR6BAT</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-07-03T15:51:15</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">XpKWsPk9EKJG+AaWVIXOVIoQ6NFFRi982bIsZhTaCsyWxYQRbKrr7WToH/pZoWUcOXQg0w==</FRMT></TED>"""
"TED_TD33_F4_69283442-9_c20_s4.png,""<TED version=""""1.0""""><DD><RE>69283442-9</RE><TD>33</TD><F>4</F><FE>2025-04-07</FE><RR>27707886-4</RR><RSR>Bolsa Ltda</RSR><GIR>LOgIstICa</GIR><DIRR>av central 7657 of 485</DIRR><CMNA>VAlpARAiSO</CMNA><REG>VALPARAISO</REG><MNT>7405000</MNT><NETO>5841370</NETO><IVA>1563630</IVA><IT1>cable guante cateter sensor comúnicacion</IT1><OBS>BATÉRIA SOLUCION GÚANTÉ HARDWARE MANTENCION PRUEBA FILTRO HOSPÍTALARIO MONITOREO SERVICIÓ ARRIENDÓ SERVICIO KIT GUANTE INSUMO</OBS><REF><TPO>801</TPO><FOL>770247</FOL><FE>2025-09-07</FE></REF><CAF version=""""1.0""""><DA><RE>62574325-7</RE><TD>56</TD><RNG><D>3267</D><H>1003433</H></RNG><FA>2026-01-17</FA><RSAPK><M>XD24NNB9C47YG2WFXII1LGW4VZRFJAKG48MCIETXT6FDN9JASQFIT4X4S7DA8PX53EEIFVW58P1JGRDONP5XT1H2WMYY0KGLRQJWNGUMM9WMTG2NVQHFMLWTJ0UJFF6EB87PMLQX</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-08-09T07:55:58</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">SkV/BK8H6zpmIFhMjFZ2dJrllY97JnYWeZLi58IG3x4IEtwEes/E87K8oMSCkEFalJTuEA==</FRMT></TED>"""
"TED_TD33_F5_33096035-3_c20_s4.png,""<TED version=""""1.0""""><DD><RE>33096035-3</RE><TD>33</TD><F>5</F><FE>2025-08-08</FE><RR>23617760-2</RR><RSR>CATETER SOPORTE SPA 847</RSR><GIR>LOGISTICA</GIR><DIRR>CAMINO SÚR 9825</DIRR><CMNA>VILLA ALEMANA</CMNA><REG>METROPOLITANA</REG><MNT>11703600</MNT><NETO>9796930</NETO><IVA>1906670</IVA><IT1>Cable Solucion Instalacion Comunicacion </IT1><OBS>equipo servicio prueba hospitalario fíltro kit hospítálario instalácion filtro cable licénciá hardware clinico jeringa equipo</OBS><REF><TPO>801</TPO><FOL>291275</FOL><FE>2025-07-27</FE></REF><CAF version=""""1.0""""><DA><RE>76257866-2</RE><TD>33</TD><RNG><D>420</D><H>7899611</H></RNG><FA>2026-01-17</FA><RSAPK><M>YMRTG6P55RJ72KJVHYYDYGN0VT4WLW9JLZO3VG84EGXU6KED40OKFFN3HQGWSCW5GCQ0INRI556OVYDHIUTKM1F4Z4LGXQDAI06CEJBKAI4GJCF3MZOOKFHYIAZXHYMFP1JW3ZXXSRWZXJE2PKAL1ZGYIANOJVBN2DC9L2SEUKJKJ2YL</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-06-09T14:46:48</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">n2mRZQTsoCpNLGIdPEDKpiLZzXtGbveMOw+lORZ5KHXHED4P82Fv6g+Vyablw76y9byR5w==</FRMT></TED>"""
"TED_TD61_F6_78624740-3_c20_s4.png,""<TED version=""""1.0""""><DD><RE>78624740-3</RE><TD>61</TD><F>6</F><FE>2025-06-22</FE><RR>50636955-K</RR><RSR>filtro modúlo cómunícácion spa</RSR><GIR>SERVICÍOS MEDICOS</GIR><DIRR>camino libertad 9451</DIRR><CMNA>QUILPUE</CMNA><REG>valparaisó</REG><MNT>12564900</MNT><NETO>8925420</NETO><IVA>3639480</IVA><IT1>Modulo Cable Moduló Cod-7782 14Pk</IT1><OBS>SOPORTE CABLE INSTALACION COMUNICÁCION TUBO SOLÚCION HÓSPITALARIO REPARÁCION VALVULA TUBO HOSPITALÁRIO SOLUCION</OBS><REF><TPO>801</TPO><FOL>205028</FOL><FE>2025-10-01</FE></REF><CAF version=""""1.0""""><DA><RE>56105884-9</RE><TD>39</TD><RNG><D>200</D><H>9483811</H></RNG><FA>2026-01-17</FA><RSAPK><M>A1XCER1X6PUKVFDA7152IY9KMZ6U0LPVHGS6YHO6XUDNRGIUIGCDBIAA3C1REN53V9ED2TBKTUTYWUQ43DAIREOK6BQ8XG1AXG3BUO4TZNOFXOA9B693HCUQV3QHSGJP9BAQ52MPD2JY6IPNSDFTI1DBT1O1PLANH1Q3YKTVRW9BVEKQN6E8WKQ8YZFI08JMZKQ9ZTJUFGCYXCNJ8IGTCPEY</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-08-22T05:47:45</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">w6sURgoOX2v7BAa0e5EaZLBYgwOjUHKGcs1DFgyPoVi9XXlh0uU0o5pd4rIF9L2ONW7NRQ==</FRMT></TED>"""
"TED_TD33_F7_71826810-9_c20_s4.png,""<TED version=""""1.0""""><DD><RE>71826810-9</RE><TD>33</TD><F>7</F><FE>2025-04-02</FE><RR>71450685-4</RR><RSR>RePuEsTó spa</RSR><GIR>MÁnTeNImIenTo eQuIpOs</GIR><DIRR>CAMINO ARGENTINA 1704</DIRR><CMNA>LA CÁLERA</CMNA><REG>BIOBIO</REG><MNT>36840000</MNT><NETO>34042890</NETO><IVA>2797110</IVA><IT1>bateria insumo sensor instalacíon filtro</IT1><OBS>sensor prueba insumo cable prueba mantencion valvula transporte sensor catéter softwaré valvula repuesto transporte soporte</OBS><REF><TPO>801</TPO><FOL>218880</FOL><FE>2025-12-05</FE></REF><CAF version=""""1.0""""><DA><RE>47267483-8</RE><TD>39</TD><RNG><D>704</D><H>1408591</H></RNG><FA>2026-01-17</FA><RSAPK><M>AGSI1YPZBN0FOUI8CUDF2LT9KCGXRWCHSGQDM69NW3MNASWEGW4KSIUMSXD0L7QSPG7NQO0PZEXL2ONO9MUSYMQYR8MCRJJM6WPU4722RPYCXA083XH4H4CU8UCERA3DY90KMGDZ</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-03-22T16:43:31</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">GtxwUUS5KvirNZ9kIuV4lmHvwg28KvuiaplIqKXNSvLPPkWN3dpZ99ueFLiYxiQO527elQ==</FRMT></TED>"""
"TED_TD34_F8_89751585-7_c20_s4.png,""<TED version=""""1.0""""><DD><RE>89751585-7</RE><TD>34</TD><F>8</F><FE>2025-10-27</FE><RR>71104456-6</RR><RSR>pack cable PRÚEbA rEpaRaciOn LiMitaDa 87</RSR><GIR>Tecnologia Medica</GIR><DIRR>rUtA PRaT 672 OF 812</DIRR><CMNA>sAn anToNio</CMNA><REG>Coquímbo</REG><MNT>43350000</MNT><NETO>31487930</NETO><IVA>11862070</IVA><IT1>sopórté repúésto modulo guante instaláci</IT1><OBS>INSTALACION SENSÓR REPUESTO CATETÉR CÁTETÉR PROCEDIMIENTO SOPORTE MÓDULO COMUNICACION SOLUCION MANTENCION</OBS><REF><TPO>801</TPO><FOL>329071</FOL><FE>2025-10-04</FE></REF><CAF version=""""1.0""""><DA><RE>29395290-6</RE><TD>39</TD><RNG><D>896</D><H>5489611</H></RNG><FA>2026-01-17</FA><RSAPK><M>U8JDE4010H2Q7IC4J610KYGY14K4WNLEZ2FNB3E0JSUE4AO61QKZPJ1RDU85E82AGYQ271KGD6RU9KD121MS4EW2FPUXIH9Y39N87NXWZRT7N86PX5KVQNG405QX10R995LSZFXUL5ZQHVHB7NAJCP69J1TEPE4A2EHJ43EGXYGM2X43BM018S67J8R6H96CQRGK1DKDAD4IRWNJ2N3N8NQ9RL732Y7R8LQCCUYA595OX8H3GGF5Z29FMMH4X3ZH</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-05-08T14:53:43</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">sYldxTsEDjbdYtZgpQuRr7wX27XRCTHRORyfP9pWoyNZq8koNMyZuV2zcQR4uEQK4RPkNg==</FRMT></TED>"""
"TED_TD61_F4834_54289949-2_c20_s4.png,""<TED version=""""1.0""""><DD><RE>54289949-2</RE><TD>61</TD><F>4834</F><FE>2025-07-17</FE><RR>48285903-8</RR><RSR>pACK EÍrL</RSR><GIR>LOGISTICA</GIR><DIRR>CALLE NORTE 3324</DIRR><CMNA>Villa Alemana</CMNA><REG>Coquimbo</REG><MNT>12468000</MNT><NETO>9887360</NETO><IVA>2580640</IVA><IT1>instalacíon prúeba diagnostico software </IT1><OBS>HOSPITALARIO CALIBRACION ACTUALIZACION HOSPITALARIÓ SENSOR CLINICO CÁLIBRACÍÓN VALVULA TUBÓ HOSPITALÁRIO MODULO INSUMO GUANTE HOSPITALARIO EQUIPÓ PROCÉDÍMIENTO</OBS><REF><TPO>801</TPO><FOL>548464</FOL><FE>2026-01-09</FE></REF><CAF version=""""1.0""""><DA><RE>69654256-2</RE><TD>33</TD><RNG><D>4892</D><H>3423175</H></RNG><FA>2026-01-17</FA><RSAPK><M>G0B7JDS7JVQD4VIVA1SDLNHEBH2LLJQUI4POIL40Z98JX66GV53C0JCI2AG7YBVZSHUDVCCVPG7ASSE0HBK4R81E3G8TL44HI60DBF5GPB3GDY1LMLN5GGPVQPIKNQ1YIFBVQV1BKK90I4W4ANUOFI7FI8BYW7YB5H8XP1ZMS6Y303UZC3GTTE07FABOIT7XNSO3F9CHN8AIT0ZGQKQR6P47</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-07-02T12:40:43</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">FZxxxTMZev/LWn8pjW1BwlVXCdysYn8isHAwh3+R+Gv7gZHFsTTgjqJBLqqlNotamzxfKA==</FRMT></TED>"""
"TED_TD33_F4835_51205042-5_c20_s4.png,""<TED version=""""1.0""""><DD><RE>51205042-5</RE><TD>33</TD><F>4835</F><FE>2025-08-01</FE><RR>29215985-4</RR><RSR>DÍAGNOSTICO EIRL 44</RSR><GIR>manTEnImIEnTó eQuIpOS</GIR><DIRR>PASAJE PRÁT 2381 OF 897</DIRR><CMNA>QUILPUE</CMNA><REG>bIoBiO</REG><MNT>35761600</MNT><NETO>29731410</NETO><IVA>6030190</IVA><IT1>insumo tubó kit sku-851158 24mes</IT1><OBS>Modúlo Pack Ínsumo Repuesto Monitóreo Mascarilla Cateter Clinico Clinico Valvula Sensor Licéncia Actualizacion Catéter Valvula Tubo Cable Mascarillá Modulo Sensor Kit</OBS><REF><TPO>801</TPO><FOL>958947</FOL><FE>2025-05-17</FE></REF><CAF version=""""1.0""""><DA><RE>5871753-3</RE><TD>39</TD><RNG><D>368</D><H>266719</H></RNG><FA>2026-01-17</FA><RSAPK><M>8M9VH9XTIW7QZXT49L5LRCNJFD6ZD7X4P3VR5Q6IU2YYGNH69FARFHFQMW6N1859AY75RG5QKF7ENCV12DKX5R7RUBT50MJ8H97NRE9J9XDHJKKSY18LMGOWY3ZN5MH580KDI7N1</M><E>65537</E></RSAPK></DA></CAF><TSTED>2025-08-18T22:22:53</TSTED></DD><FRMT algoritmo=""""SHA1withRSA"""">vo+WSwkn7j7s+/WFstjWcTLyEPRC3NjdAXa5A69ytH6rPYVnQ57Sr3/tLMMf4Z0sMYvJPw==</FRMT></TED>"""
